cost_type:  cups_gone
revenue_type:  profit
Small Cup : 100 // 50
Large Cup : 120 // 60
norm_min = min(-cost_l + pho_s, pho_l - cost_l, pho_s - cost_s)
norm_max = max(-cost_l + pho_s, pho_l - cost_l, pho_s - cost_s)
Starting out with Budget =  500
 N = 110, Offered_price = 103.16, result=1, Small=463, 
 N = 111, Offered_price = 103.16, result=1, Small=463, 
 N = 112, Offered_price = 103.16, result=1, Small=463, 
 N = 113, Offered_price = 103.16, result=1, Small=463, 
 N = 114, Offered_price = 103.16, result=1, Small=463, 
 N = 115, Offered_price = 103.16, result=0, Small=462, 
 N = 116, Offered_price = 108.42, result=1, Small=462, 
 N = 117, Offered_price = 108.42, result=0, Small=461, 
 N = 118, Offered_price = 110.53, result=0, Small=460, 
 N = 119, Offered_price = 102.11, result=1, Small=460, 
 N = 120, Offered_price = 106.32, result=0, Small=459, 
 N = 121, Offered_price = 109.47, result=0, Small=458, 
 N = 122, Offered_price = 102.11, result=1, Small=458, 
 N = 123, Offered_price = 102.11, result=1, Small=458, 
 N = 124, Offered_price = 102.11, result=1, Small=458, 
 N = 125, Offered_price = 102.11, result=1, Small=458, 
 N = 126, Offered_price = 102.11, result=0, Small=457, 
 N = 127, Offered_price = 105.26, result=0, Small=456, 
 N = 128, Offered_price = 107.37, result=0, Small=455, 
 N = 129, Offered_price = 111.58, result=0, Small=454, 
 N = 130, Offered_price = 112.63, result=0, Small=453, 
 N = 131, Offered_price = 113.68, result=0, Small=452, 
 N = 132, Offered_price = 114.74, result=0, Small=451, 
 N = 133, Offered_price = 116.84, result=0, Small=450, 
 N = 134, Offered_price = 117.89, result=0, Small=449, 
 N = 135, Offered_price = 118.95, result=0, Small=448, 
 N = 136, Offered_price = 120.00, result=0, Small=447, 
 N = 137, Offered_price = 115.79, result=0, Small=446, 
 N = 138, Offered_price = 108.42, result=0, Small=445, 
 N = 139, Offered_price = 101.05, result=1, Small=445, 
 N = 140, Offered_price = 101.05, result=1, Small=445, 
 N = 141, Offered_price = 101.05, result=1, Small=445, 
 N = 142, Offered_price = 101.05, result=0, Small=444, 
 N = 143, Offered_price = 110.53, result=0, Small=443, 
 N = 144, Offered_price = 109.47, result=0, Small=442, 
 N = 145, Offered_price = 105.26, result=0, Small=441, 
 N = 146, Offered_price = 103.16, result=1, Small=441, 
 N = 147, Offered_price = 103.16, result=1, Small=441, 
 N = 148, Offered_price = 103.16, result=1, Small=441, 
 N = 149, Offered_price = 103.16, result=1, Small=441, 
 N = 150, Offered_price = 103.16, result=1, Small=441, 
 N = 151, Offered_price = 103.16, result=1, Small=441, 
 N = 152, Offered_price = 103.16, result=1, Small=441, 
 N = 153, Offered_price = 103.16, result=1, Small=441, 
 N = 154, Offered_price = 103.16, result=1, Small=441, 
 N = 155, Offered_price = 103.16, result=1, Small=441, 
 N = 156, Offered_price = 103.16, result=0, Small=440, 
 N = 157, Offered_price = 107.37, result=0, Small=439, 
 N = 158, Offered_price = 111.58, result=0, Small=438, 
 N = 159, Offered_price = 112.63, result=1, Small=438, 
 N = 160, Offered_price = 112.63, result=0, Small=437, 
 N = 161, Offered_price = 113.68, result=0, Small=436, 
 N = 162, Offered_price = 114.74, result=0, Small=435, 
 N = 163, Offered_price = 116.84, result=0, Small=434, 
 N = 164, Offered_price = 117.89, result=0, Small=433, 
 N = 165, Offered_price = 118.95, result=0, Small=432, 
 N = 166, Offered_price = 120.00, result=0, Small=431, 
 N = 167, Offered_price = 106.32, result=0, Small=430, 
 N = 168, Offered_price = 115.79, result=0, Small=429, 
 N = 169, Offered_price = 112.63, result=0, Small=428, 
 N = 170, Offered_price = 104.21, result=0, Small=427, 
 N = 171, Offered_price = 108.42, result=1, Small=427, 
 N = 172, Offered_price = 108.42, result=1, Small=427, 
 N = 173, Offered_price = 108.42, result=0, Small=426, 
 N = 174, Offered_price = 110.53, result=0, Small=425, 
 N = 175, Offered_price = 109.47, result=0, Small=424, 
 N = 176, Offered_price = 105.26, result=0, Small=423, 
 N = 177, Offered_price = 107.37, result=0, Small=422, 
 N = 178, Offered_price = 111.58, result=0, Small=421, 
 N = 179, Offered_price = 113.68, result=0, Small=420, 
 N = 180, Offered_price = 114.74, result=0, Small=419, 
 N = 181, Offered_price = 116.84, result=0, Small=418, 
 N = 182, Offered_price = 117.89, result=0, Small=417, 
 N = 183, Offered_price = 118.95, result=0, Small=416, 
 N = 184, Offered_price = 120.00, result=0, Small=415, 
 N = 185, Offered_price = 115.79, result=0, Small=414, 
 N = 186, Offered_price = 106.32, result=0, Small=413, 
 N = 187, Offered_price = 102.11, result=1, Small=413, 
 N = 188, Offered_price = 100.00, result=1, Small=413, 
 N = 189, Offered_price = 102.11, result=1, Small=413, 
 N = 190, Offered_price = 112.63, result=0, Small=412, 
 N = 191, Offered_price = 102.11, result=0, Small=411, 
 N = 192, Offered_price = 108.42, result=0, Small=410, 
 N = 193, Offered_price = 110.53, result=0, Small=409, 
 N = 194, Offered_price = 109.47, result=0, Small=408, 
 N = 195, Offered_price = 105.26, result=1, Small=408, 
 N = 196, Offered_price = 107.37, result=0, Small=407, 
 N = 197, Offered_price = 111.58, result=0, Small=406, 
 N = 198, Offered_price = 113.68, result=0, Small=405, 
 N = 199, Offered_price = 114.74, result=0, Small=404, 
 N = 200, Offered_price = 116.84, result=0, Small=403, 
 N = 201, Offered_price = 117.89, result=0, Small=402, 
 N = 202, Offered_price = 118.95, result=0, Small=401, 
 N = 203, Offered_price = 120.00, result=0, Small=400, 
 N = 204, Offered_price = 105.26, result=0, Small=399, 
 N = 205, Offered_price = 115.79, result=1, Small=399, 
 N = 206, Offered_price = 115.79, result=1, Small=399, 
 N = 207, Offered_price = 115.79, result=1, Small=399, 
 N = 208, Offered_price = 115.79, result=0, Small=398, 
 N = 209, Offered_price = 115.79, result=0, Small=397, 
 N = 210, Offered_price = 103.16, result=1, Small=397, 
 N = 211, Offered_price = 103.16, result=1, Small=397, 
 N = 212, Offered_price = 103.16, result=0, Small=396, 
 N = 213, Offered_price = 106.32, result=0, Small=395, 
 N = 214, Offered_price = 112.63, result=0, Small=394, 
 N = 215, Offered_price = 110.53, result=1, Small=394, 
 N = 216, Offered_price = 110.53, result=0, Small=393, 
 N = 217, Offered_price = 107.37, result=0, Small=392, 
 N = 218, Offered_price = 111.58, result=1, Small=392, 
 N = 219, Offered_price = 111.58, result=0, Small=391, 
 N = 220, Offered_price = 113.68, result=0, Small=390, 
 N = 221, Offered_price = 114.74, result=0, Small=389, 
 N = 222, Offered_price = 116.84, result=0, Small=388, 
 N = 223, Offered_price = 117.89, result=0, Small=387, 
 N = 224, Offered_price = 118.95, result=0, Small=386, 
 N = 225, Offered_price = 120.00, result=0, Small=385, 
 N = 226, Offered_price = 109.47, result=0, Small=384, 
 N = 227, Offered_price = 108.42, result=1, Small=384, 
 N = 228, Offered_price = 108.42, result=0, Small=383, 
 N = 229, Offered_price = 104.21, result=1, Small=383, 
 N = 230, Offered_price = 104.21, result=1, Small=383, 
 N = 231, Offered_price = 104.21, result=0, Small=382, 
 N = 232, Offered_price = 115.79, result=0, Small=381, 
 N = 233, Offered_price = 105.26, result=0, Small=380, 
 N = 234, Offered_price = 100.00, result=1, Small=380, 
 N = 235, Offered_price = 112.63, result=0, Small=379, 
 N = 236, Offered_price = 106.32, result=1, Small=379, 
 N = 237, Offered_price = 111.58, result=1, Small=379, 
 N = 238, Offered_price = 111.58, result=1, Small=379, 
 N = 239, Offered_price = 111.58, result=0, Small=378, 
 N = 240, Offered_price = 107.37, result=0, Small=377, 
 N = 241, Offered_price = 113.68, result=0, Small=376, 
 N = 242, Offered_price = 114.74, result=0, Small=375, 
 N = 243, Offered_price = 116.84, result=0, Small=374, 
 N = 244, Offered_price = 117.89, result=0, Small=373, 
 N = 245, Offered_price = 118.95, result=0, Small=372, 
 N = 246, Offered_price = 120.00, result=0, Small=371, 
 N = 247, Offered_price = 110.53, result=0, Small=370, 
 N = 248, Offered_price = 102.11, result=1, Small=370, 
 N = 249, Offered_price = 106.32, result=1, Small=370, 
 N = 250, Offered_price = 109.47, result=1, Small=370, 
 N = 251, Offered_price = 109.47, result=0, Small=369, 
 N = 252, Offered_price = 106.32, result=1, Small=369, 
 N = 253, Offered_price = 102.11, result=1, Small=369, 
 N = 254, Offered_price = 106.32, result=1, Small=369, 
 N = 255, Offered_price = 106.32, result=0, Small=368, 
 N = 256, Offered_price = 105.26, result=1, Small=368, 
 N = 257, Offered_price = 108.42, result=0, Small=367, 
 N = 258, Offered_price = 102.11, result=1, Small=367, 
 N = 259, Offered_price = 115.79, result=0, Small=366, 
 N = 260, Offered_price = 111.58, result=0, Small=365, 
 N = 261, Offered_price = 112.63, result=0, Small=364, 
 N = 262, Offered_price = 105.26, result=1, Small=364, 
 N = 263, Offered_price = 107.37, result=1, Small=364, 
 N = 264, Offered_price = 113.68, result=1, Small=364, 
 N = 265, Offered_price = 113.68, result=0, Small=363, 
 N = 266, Offered_price = 114.74, result=0, Small=362, 
 N = 267, Offered_price = 116.84, result=0, Small=361, 
 N = 268, Offered_price = 117.89, result=0, Small=360, 
 N = 269, Offered_price = 118.95, result=0, Small=359, 
 N = 270, Offered_price = 120.00, result=0, Small=358, 
 N = 271, Offered_price = 102.11, result=1, Small=358, 
 N = 272, Offered_price = 110.53, result=0, Small=357, 
 N = 273, Offered_price = 102.11, result=1, Small=357, 
 N = 274, Offered_price = 109.47, result=0, Small=356, 
 N = 275, Offered_price = 107.37, result=0, Small=355, 
 N = 276, Offered_price = 105.26, result=1, Small=355, 
 N = 277, Offered_price = 100.00, result=1, Small=355, 
 N = 278, Offered_price = 102.11, result=1, Small=355, 
 N = 279, Offered_price = 102.11, result=1, Small=355, 
