Small Cup : 100 // 50
Large Cup : 105 // 60
Starting out with Budget =  100
 N = 99, Offered_price = 100.26, result=1, Small=82, 
 N = 100, Offered_price = 100.26, result=1, Small=82, 
 N = 101, Offered_price = 100.26, result=1, Small=82, 
 N = 102, Offered_price = 100.26, result=1, Small=82, 
 N = 103, Offered_price = 100.26, result=1, Small=82, 
 N = 104, Offered_price = 100.26, result=1, Small=82, 
 N = 105, Offered_price = 100.26, result=1, Small=82, 
 N = 106, Offered_price = 100.26, result=1, Small=82, 
 N = 107, Offered_price = 100.26, result=1, Small=82, 
 N = 108, Offered_price = 100.26, result=1, Small=82, 
 N = 109, Offered_price = 100.26, result=1, Small=82, 
 N = 110, Offered_price = 100.26, result=1, Small=82, 
 N = 111, Offered_price = 100.26, result=1, Small=82, 
 N = 112, Offered_price = 100.26, result=1, Small=82, 
 N = 113, Offered_price = 100.26, result=1, Small=82, 
 N = 114, Offered_price = 100.26, result=1, Small=82, 
 N = 115, Offered_price = 100.26, result=0, Small=81, 
 N = 116, Offered_price = 101.32, result=1, Small=81, 
 N = 117, Offered_price = 101.32, result=0, Small=80, 
 N = 118, Offered_price = 101.58, result=1, Small=80, 
 N = 119, Offered_price = 101.58, result=1, Small=80, 
 N = 120, Offered_price = 101.58, result=0, Small=79, 
 N = 121, Offered_price = 104.21, result=0, Small=78, 
 N = 122, Offered_price = 103.95, result=1, Small=78, 
 N = 123, Offered_price = 103.95, result=0, Small=77, 
 N = 124, Offered_price = 102.37, result=1, Small=77, 
 N = 125, Offered_price = 102.37, result=0, Small=76, 
 N = 126, Offered_price = 101.84, result=0, Small=75, 
 N = 127, Offered_price = 102.63, result=0, Small=74, 
 N = 128, Offered_price = 102.11, result=0, Small=73, 
 N = 129, Offered_price = 102.89, result=0, Small=72, 
 N = 130, Offered_price = 103.16, result=0, Small=71, 
 N = 131, Offered_price = 103.42, result=0, Small=70, 
 N = 132, Offered_price = 103.68, result=0, Small=69, 
 N = 133, Offered_price = 104.47, result=0, Small=68, 
 N = 134, Offered_price = 104.74, result=0, Small=67, 
 N = 135, Offered_price = 105.00, result=0, Small=66, 
 N = 136, Offered_price = 103.95, result=0, Small=65, 
 N = 137, Offered_price = 100.79, result=1, Small=65, 
 N = 138, Offered_price = 100.79, result=1, Small=65, 
 N = 139, Offered_price = 100.79, result=0, Small=64, 
 N = 140, Offered_price = 104.21, result=1, Small=64, 
 N = 141, Offered_price = 104.21, result=1, Small=64, 
 N = 142, Offered_price = 104.21, result=0, Small=63, 
 N = 143, Offered_price = 101.05, result=0, Small=62, 
 N = 144, Offered_price = 102.11, result=0, Small=61, 
 N = 145, Offered_price = 102.89, result=0, Small=60, 
 N = 146, Offered_price = 103.16, result=1, Small=60, 
 N = 147, Offered_price = 103.16, result=1, Small=60, 
 N = 148, Offered_price = 103.16, result=0, Small=59, 
 N = 149, Offered_price = 103.42, result=0, Small=58, 
 N = 150, Offered_price = 103.68, result=0, Small=57, 
 N = 151, Offered_price = 104.47, result=0, Small=56, 
 N = 152, Offered_price = 104.74, result=0, Small=55, 
 N = 153, Offered_price = 105.00, result=0, Small=54, 
 N = 154, Offered_price = 102.63, result=0, Small=53, 
 N = 155, Offered_price = 102.37, result=0, Small=52, 
 N = 156, Offered_price = 104.21, result=0, Small=51, 
 N = 157, Offered_price = 101.84, result=0, Small=50, 
 N = 158, Offered_price = 103.95, result=0, Small=49, 
 N = 159, Offered_price = 101.58, result=1, Small=49, 
 N = 160, Offered_price = 101.58, result=1, Small=49, 
 N = 161, Offered_price = 101.58, result=1, Small=49, 
 N = 162, Offered_price = 101.58, result=1, Small=49, 
 N = 163, Offered_price = 101.58, result=1, Small=49, 
 N = 164, Offered_price = 101.58, result=0, Small=48, 
 N = 165, Offered_price = 102.11, result=0, Small=47, 
 N = 166, Offered_price = 102.89, result=0, Small=46, 
 N = 167, Offered_price = 103.42, result=0, Small=45, 
 N = 168, Offered_price = 103.68, result=0, Small=44, 
 N = 169, Offered_price = 104.47, result=0, Small=43, 
 N = 170, Offered_price = 104.74, result=0, Small=42, 
 N = 171, Offered_price = 105.00, result=0, Small=41, 
 N = 172, Offered_price = 103.16, result=1, Small=41, 
 N = 173, Offered_price = 103.16, result=0, Small=40, 
 N = 174, Offered_price = 102.63, result=0, Small=39, 
 N = 175, Offered_price = 101.32, result=1, Small=39, 
 N = 176, Offered_price = 101.32, result=1, Small=39, 
 N = 177, Offered_price = 101.32, result=1, Small=39, 
 N = 178, Offered_price = 101.32, result=0, Small=38, 
 N = 179, Offered_price = 102.37, result=1, Small=38, 
 N = 180, Offered_price = 102.37, result=0, Small=37, 
 N = 181, Offered_price = 104.21, result=0, Small=36, 
 N = 182, Offered_price = 103.95, result=0, Small=35, 
 N = 183, Offered_price = 102.11, result=1, Small=35, 
 N = 184, Offered_price = 102.89, result=0, Small=34, 
 N = 185, Offered_price = 103.42, result=0, Small=33, 
 N = 186, Offered_price = 103.68, result=0, Small=32, 
 N = 187, Offered_price = 104.47, result=0, Small=31, 
 N = 188, Offered_price = 104.74, result=0, Small=30, 
 N = 189, Offered_price = 105.00, result=0, Small=29, 
 N = 190, Offered_price = 101.84, result=0, Small=28, 
 N = 191, Offered_price = 101.05, result=0, Small=27, 
 N = 192, Offered_price = 102.63, result=0, Small=26, 
 N = 193, Offered_price = 103.16, result=0, Small=25, 
 N = 194, Offered_price = 102.11, result=0, Small=24, 
 N = 195, Offered_price = 100.53, result=1, Small=24, 
 N = 196, Offered_price = 100.53, result=1, Small=24, 
 N = 197, Offered_price = 100.53, result=1, Small=24, 
 N = 198, Offered_price = 100.53, result=1, Small=24, 
 N = 199, Offered_price = 100.53, result=1, Small=24, 
 N = 200, Offered_price = 100.53, result=0, Small=23, 
 N = 201, Offered_price = 102.89, result=1, Small=23, 
 N = 202, Offered_price = 103.42, result=0, Small=22, 
 N = 203, Offered_price = 103.68, result=0, Small=21, 
 N = 204, Offered_price = 104.47, result=0, Small=20, 
 N = 205, Offered_price = 104.74, result=1, Small=20, 
 N = 206, Offered_price = 104.74, result=0, Small=19, 
 N = 207, Offered_price = 105.00, result=0, Small=18, 
 N = 208, Offered_price = 104.21, result=0, Small=17, 
 N = 209, Offered_price = 103.95, result=0, Small=16, 
 N = 210, Offered_price = 102.37, result=0, Small=15, 
 N = 211, Offered_price = 102.89, result=0, Small=14, 
 N = 212, Offered_price = 101.84, result=0, Small=13, 
 N = 213, Offered_price = 102.63, result=0, Small=12, 
 N = 214, Offered_price = 102.11, result=0, Small=11, 
 N = 215, Offered_price = 103.16, result=1, Small=11, 
 N = 216, Offered_price = 103.16, result=0, Small=10, 
 N = 217, Offered_price = 101.58, result=0, Small=9, 
 N = 218, Offered_price = 101.05, result=1, Small=9, 
 N = 219, Offered_price = 103.42, result=0, Small=8, 
 N = 220, Offered_price = 103.68, result=0, Small=7, 
 N = 221, Offered_price = 104.47, result=0, Small=6, 
 N = 222, Offered_price = 105.00, result=0, Small=5, 
 N = 223, Offered_price = 104.74, result=0, Small=4, 
 N = 224, Offered_price = 101.05, result=0, Small=3, 
 N = 225, Offered_price = 104.21, result=0, Small=2, 
 N = 226, Offered_price = 103.95, result=0, Small=1, 
 N = 227, Offered_price = 102.89, result=1, Small=1, 
 N = 228, Offered_price = 102.63, result=0, Small=0, 
BOOST BY 100 SMALL CUPS
 N = 229, Offered_price = 102.37, result=1, Small=0, 
 N = 230, Offered_price = 102.11, result=0, Small=-1, 
 N = 231, Offered_price = 101.84, result=0, Small=-2, 
 N = 232, Offered_price = 102.89, result=0, Small=-3, 
 N = 233, Offered_price = 102.37, result=0, Small=-4, 
 N = 234, Offered_price = 103.42, result=0, Small=-5, 
 N = 235, Offered_price = 103.68, result=0, Small=-6, 
 N = 236, Offered_price = 104.47, result=0, Small=-7, 
 N = 237, Offered_price = 105.00, result=0, Small=-8, 
 N = 238, Offered_price = 103.16, result=1, Small=-8, 
 N = 239, Offered_price = 104.74, result=0, Small=-9, 
 N = 240, Offered_price = 103.16, result=0, Small=-10, 
 N = 241, Offered_price = 101.32, result=1, Small=-10, 
 N = 242, Offered_price = 103.95, result=0, Small=-11, 
 N = 243, Offered_price = 101.32, result=1, Small=-11, 
 N = 244, Offered_price = 104.21, result=0, Small=-12, 
 N = 245, Offered_price = 101.32, result=1, Small=-12, 
 N = 246, Offered_price = 101.32, result=1, Small=-12, 
 N = 247, Offered_price = 101.32, result=1, Small=-12, 
 N = 248, Offered_price = 101.32, result=1, Small=-12, 
 N = 249, Offered_price = 101.32, result=1, Small=-12, 
 N = 250, Offered_price = 101.32, result=1, Small=-12, 
 N = 251, Offered_price = 101.32, result=0, Small=-13, 
 N = 252, Offered_price = 102.63, result=1, Small=-13, 
 N = 253, Offered_price = 102.11, result=1, Small=-13, 
 N = 254, Offered_price = 101.84, result=1, Small=-13, 
 N = 255, Offered_price = 101.05, result=1, Small=-13, 
 N = 256, Offered_price = 102.89, result=1, Small=-13, 
 N = 257, Offered_price = 102.63, result=0, Small=-14, 
 N = 258, Offered_price = 103.42, result=1, Small=-14, 
 N = 259, Offered_price = 103.68, result=0, Small=-15, 
 N = 260, Offered_price = 104.47, result=0, Small=-16, 
 N = 261, Offered_price = 105.00, result=0, Small=-17, 
 N = 262, Offered_price = 100.79, result=1, Small=-17, 
 N = 263, Offered_price = 100.79, result=1, Small=-17, 
 N = 264, Offered_price = 100.79, result=1, Small=-17, 
 N = 265, Offered_price = 102.37, result=0, Small=-18, 
 N = 266, Offered_price = 100.79, result=0, Small=-19, 
