Small Cup : 100 // 50
Large Cup : 100 // 60
 N = 1, Offered_price = 100.00, result=1, Small=100, 
 N = 2, Offered_price = 100.00, result=1, Small=100, 
 N = 3, Offered_price = 100.00, result=1, Small=100, 
 N = 4, Offered_price = 100.00, result=1, Small=100, 
 N = 5, Offered_price = 100.00, result=1, Small=100, 
 N = 6, Offered_price = 100.00, result=1, Small=100, 
 N = 7, Offered_price = 100.00, result=1, Small=100, 
 N = 8, Offered_price = 100.00, result=1, Small=100, 
 N = 9, Offered_price = 100.00, result=0, Small=99, 
 N = 10, Offered_price = 100.00, result=1, Small=99, 
 N = 11, Offered_price = 100.00, result=1, Small=99, 
 N = 12, Offered_price = 100.00, result=0, Small=98, 
 N = 13, Offered_price = 100.00, result=0, Small=97, 
 N = 14, Offered_price = 100.00, result=0, Small=96, 
 N = 15, Offered_price = 100.00, result=0, Small=95, 
 N = 16, Offered_price = 100.00, result=1, Small=95, 
 N = 17, Offered_price = 100.00, result=1, Small=95, 
 N = 18, Offered_price = 100.00, result=0, Small=94, 
 N = 19, Offered_price = 100.00, result=0, Small=93, 
 N = 20, Offered_price = 100.00, result=0, Small=92, 
 N = 21, Offered_price = 100.00, result=0, Small=91, 
 N = 22, Offered_price = 100.00, result=0, Small=90, 
 N = 23, Offered_price = 100.00, result=0, Small=89, 
 N = 24, Offered_price = 100.00, result=1, Small=89, 
 N = 25, Offered_price = 100.00, result=0, Small=88, 
 N = 26, Offered_price = 100.00, result=0, Small=87, 
 N = 27, Offered_price = 100.00, result=0, Small=86, 
 N = 28, Offered_price = 100.00, result=0, Small=85, 
 N = 29, Offered_price = 100.00, result=1, Small=85, 
 N = 30, Offered_price = 100.00, result=0, Small=84, 
 N = 31, Offered_price = 100.00, result=0, Small=83, 
 N = 32, Offered_price = 100.00, result=0, Small=82, 
 N = 33, Offered_price = 100.00, result=0, Small=81, 
 N = 34, Offered_price = 100.00, result=1, Small=81, 
 N = 35, Offered_price = 100.00, result=0, Small=80, 
 N = 36, Offered_price = 100.00, result=0, Small=79, 
 N = 37, Offered_price = 100.00, result=1, Small=79, 
 N = 38, Offered_price = 100.00, result=0, Small=78, 
 N = 39, Offered_price = 100.00, result=1, Small=78, 
 N = 40, Offered_price = 100.00, result=1, Small=78, 
 N = 41, Offered_price = 100.00, result=0, Small=77, 
 N = 42, Offered_price = 100.00, result=0, Small=76, 
 N = 43, Offered_price = 100.00, result=0, Small=75, 
 N = 44, Offered_price = 100.00, result=0, Small=74, 
 N = 45, Offered_price = 100.00, result=1, Small=74, 
 N = 46, Offered_price = 100.00, result=0, Small=73, 
 N = 47, Offered_price = 100.00, result=1, Small=73, 
 N = 48, Offered_price = 100.00, result=0, Small=72, 
 N = 49, Offered_price = 100.00, result=0, Small=71, 
