cost_type:  cups_gone
revenue_type:  profit
Small Cup : 100 // 50
Large Cup : 120 // 60
norm_min = min(-cost_l + pho_s, pho_l - cost_l, pho_s - cost_s)
norm_max = max(-cost_l + pho_s, pho_l - cost_l, pho_s - cost_s)
Starting out with Budget =  500
 N = 228, Offered_price = 109.47, result=0, Small=423, 
 N = 229, Offered_price = 111.58, result=1, Small=423, 
 N = 230, Offered_price = 111.58, result=0, Small=422, 
 N = 231, Offered_price = 106.32, result=0, Small=421, 
 N = 232, Offered_price = 107.37, result=1, Small=421, 
 N = 233, Offered_price = 107.37, result=0, Small=420, 
 N = 234, Offered_price = 110.53, result=0, Small=419, 
 N = 235, Offered_price = 104.21, result=0, Small=418, 
 N = 236, Offered_price = 101.05, result=1, Small=418, 
 N = 237, Offered_price = 101.05, result=1, Small=418, 
 N = 238, Offered_price = 101.05, result=1, Small=418, 
 N = 239, Offered_price = 101.05, result=1, Small=418, 
 N = 240, Offered_price = 101.05, result=1, Small=418, 
 N = 241, Offered_price = 101.05, result=1, Small=418, 
 N = 242, Offered_price = 101.05, result=1, Small=418, 
 N = 243, Offered_price = 101.05, result=1, Small=418, 
 N = 244, Offered_price = 101.05, result=1, Small=418, 
 N = 245, Offered_price = 101.05, result=1, Small=418, 
 N = 246, Offered_price = 101.05, result=1, Small=418, 
 N = 247, Offered_price = 101.05, result=1, Small=418, 
 N = 248, Offered_price = 101.05, result=1, Small=418, 
 N = 249, Offered_price = 101.05, result=1, Small=418, 
 N = 250, Offered_price = 101.05, result=1, Small=418, 
 N = 251, Offered_price = 101.05, result=1, Small=418, 
 N = 252, Offered_price = 101.05, result=1, Small=418, 
 N = 253, Offered_price = 101.05, result=1, Small=418, 
 N = 254, Offered_price = 101.05, result=1, Small=418, 
 N = 255, Offered_price = 101.05, result=1, Small=418, 
 N = 256, Offered_price = 101.05, result=1, Small=418, 
 N = 257, Offered_price = 101.05, result=0, Small=417, 
 N = 258, Offered_price = 112.63, result=1, Small=417, 
 N = 259, Offered_price = 112.63, result=0, Small=416, 
 N = 260, Offered_price = 108.42, result=1, Small=416, 
 N = 261, Offered_price = 108.42, result=0, Small=415, 
 N = 262, Offered_price = 114.74, result=0, Small=414, 
 N = 263, Offered_price = 117.89, result=0, Small=413, 
 N = 264, Offered_price = 118.95, result=1, Small=413, 
 N = 265, Offered_price = 118.95, result=0, Small=412, 
 N = 266, Offered_price = 120.00, result=0, Small=411, 
 N = 267, Offered_price = 118.95, result=0, Small=410, 
 N = 268, Offered_price = 102.11, result=1, Small=410, 
 N = 269, Offered_price = 102.11, result=1, Small=410, 
 N = 270, Offered_price = 102.11, result=1, Small=410, 
 N = 271, Offered_price = 102.11, result=1, Small=410, 
 N = 272, Offered_price = 102.11, result=1, Small=410, 
 N = 273, Offered_price = 102.11, result=1, Small=410, 
 N = 274, Offered_price = 102.11, result=0, Small=409, 
 N = 275, Offered_price = 115.79, result=0, Small=408, 
 N = 276, Offered_price = 111.58, result=1, Small=408, 
 N = 277, Offered_price = 111.58, result=0, Small=407, 
 N = 278, Offered_price = 113.68, result=0, Small=406, 
 N = 279, Offered_price = 105.26, result=0, Small=405, 
 N = 280, Offered_price = 109.47, result=1, Small=405, 
 N = 281, Offered_price = 109.47, result=1, Small=405, 
 N = 282, Offered_price = 109.47, result=1, Small=405, 
 N = 283, Offered_price = 109.47, result=1, Small=405, 
 N = 284, Offered_price = 109.47, result=1, Small=405, 
 N = 285, Offered_price = 109.47, result=1, Small=405, 
 N = 286, Offered_price = 109.47, result=0, Small=404, 
 N = 287, Offered_price = 116.84, result=0, Small=403, 
 N = 288, Offered_price = 112.63, result=0, Small=402, 
 N = 289, Offered_price = 109.47, result=0, Small=401, 
 N = 290, Offered_price = 100.00, result=1, Small=401, 
 N = 291, Offered_price = 114.74, result=0, Small=400, 
 N = 292, Offered_price = 117.89, result=0, Small=399, 
 N = 293, Offered_price = 120.00, result=0, Small=398, 
 N = 294, Offered_price = 108.42, result=1, Small=398, 
 N = 295, Offered_price = 108.42, result=0, Small=397, 
 N = 296, Offered_price = 107.37, result=1, Small=397, 
 N = 297, Offered_price = 107.37, result=1, Small=397, 
 N = 298, Offered_price = 107.37, result=0, Small=396, 
 N = 299, Offered_price = 103.16, result=0, Small=395, 
 N = 300, Offered_price = 118.95, result=0, Small=394, 
 N = 301, Offered_price = 110.53, result=0, Small=393, 
 N = 302, Offered_price = 111.58, result=0, Small=392, 
 N = 303, Offered_price = 115.79, result=0, Small=391, 
 N = 304, Offered_price = 106.32, result=1, Small=391, 
 N = 305, Offered_price = 106.32, result=1, Small=391, 
 N = 306, Offered_price = 106.32, result=1, Small=391, 
 N = 307, Offered_price = 106.32, result=0, Small=390, 
 N = 308, Offered_price = 113.68, result=0, Small=389, 
 N = 309, Offered_price = 116.84, result=0, Small=388, 
 N = 310, Offered_price = 114.74, result=1, Small=388, 
 N = 311, Offered_price = 114.74, result=0, Small=387, 
 N = 312, Offered_price = 117.89, result=1, Small=387, 
 N = 313, Offered_price = 117.89, result=1, Small=387, 
 N = 314, Offered_price = 117.89, result=1, Small=387, 
 N = 315, Offered_price = 117.89, result=0, Small=386, 
 N = 316, Offered_price = 117.89, result=0, Small=385, 
 N = 317, Offered_price = 120.00, result=0, Small=384, 
 N = 318, Offered_price = 112.63, result=0, Small=383, 
 N = 319, Offered_price = 104.21, result=1, Small=383, 
 N = 320, Offered_price = 104.21, result=0, Small=382, 
 N = 321, Offered_price = 108.42, result=1, Small=382, 
 N = 322, Offered_price = 108.42, result=0, Small=381, 
 N = 323, Offered_price = 118.95, result=0, Small=380, 
 N = 324, Offered_price = 117.89, result=0, Small=379, 
 N = 325, Offered_price = 109.47, result=0, Small=378, 
 N = 326, Offered_price = 115.79, result=0, Small=377, 
 N = 327, Offered_price = 110.53, result=0, Small=376, 
 N = 328, Offered_price = 107.37, result=1, Small=376, 
 N = 329, Offered_price = 107.37, result=0, Small=375, 
 N = 330, Offered_price = 111.58, result=0, Small=374, 
 N = 331, Offered_price = 114.74, result=0, Small=373, 
 N = 332, Offered_price = 113.68, result=0, Small=372, 
 N = 333, Offered_price = 100.00, result=1, Small=372, 
 N = 334, Offered_price = 120.00, result=0, Small=371, 
 N = 335, Offered_price = 116.84, result=0, Small=370, 
 N = 336, Offered_price = 112.63, result=1, Small=370, 
 N = 337, Offered_price = 112.63, result=1, Small=370, 
 N = 338, Offered_price = 112.63, result=1, Small=370, 
 N = 339, Offered_price = 112.63, result=1, Small=370, 
 N = 340, Offered_price = 112.63, result=0, Small=369, 
 N = 341, Offered_price = 106.32, result=1, Small=369, 
 N = 342, Offered_price = 106.32, result=1, Small=369, 
 N = 343, Offered_price = 106.32, result=1, Small=369, 
 N = 344, Offered_price = 106.32, result=1, Small=369, 
 N = 345, Offered_price = 106.32, result=1, Small=369, 
 N = 346, Offered_price = 106.32, result=1, Small=369, 
 N = 347, Offered_price = 106.32, result=0, Small=368, 
 N = 348, Offered_price = 118.95, result=0, Small=367, 
 N = 349, Offered_price = 108.42, result=1, Small=367, 
 N = 350, Offered_price = 108.42, result=0, Small=366, 
 N = 351, Offered_price = 117.89, result=0, Small=365, 
 N = 352, Offered_price = 115.79, result=0, Small=364, 
 N = 353, Offered_price = 112.63, result=0, Small=363, 
 N = 354, Offered_price = 114.74, result=0, Small=362, 
 N = 355, Offered_price = 105.26, result=1, Small=362, 
 N = 356, Offered_price = 105.26, result=1, Small=362, 
 N = 357, Offered_price = 105.26, result=1, Small=362, 
 N = 358, Offered_price = 105.26, result=0, Small=361, 
 N = 359, Offered_price = 111.58, result=0, Small=360, 
 N = 360, Offered_price = 113.68, result=1, Small=360, 
 N = 361, Offered_price = 113.68, result=1, Small=360, 
 N = 362, Offered_price = 113.68, result=0, Small=359, 
 N = 363, Offered_price = 110.53, result=1, Small=359, 
 N = 364, Offered_price = 110.53, result=0, Small=358, 
 N = 365, Offered_price = 120.00, result=0, Small=357, 
 N = 366, Offered_price = 109.47, result=1, Small=357, 
 N = 367, Offered_price = 109.47, result=0, Small=356, 
 N = 368, Offered_price = 107.37, result=0, Small=355, 
 N = 369, Offered_price = 116.84, result=0, Small=354, 
 N = 370, Offered_price = 104.21, result=1, Small=354, 
 N = 371, Offered_price = 118.95, result=0, Small=353, 
 N = 372, Offered_price = 113.68, result=0, Small=352, 
 N = 373, Offered_price = 104.21, result=0, Small=351, 
 N = 374, Offered_price = 100.00, result=1, Small=351, 
 N = 375, Offered_price = 115.79, result=1, Small=351, 
 N = 376, Offered_price = 115.79, result=1, Small=351, 
 N = 377, Offered_price = 115.79, result=0, Small=350, 
 N = 378, Offered_price = 117.89, result=1, Small=350, 
 N = 379, Offered_price = 117.89, result=0, Small=349, 
 N = 380, Offered_price = 114.74, result=1, Small=349, 
 N = 381, Offered_price = 114.74, result=0, Small=348, 
 N = 382, Offered_price = 108.42, result=1, Small=348, 
 N = 383, Offered_price = 108.42, result=0, Small=347, 
 N = 384, Offered_price = 103.16, result=1, Small=347, 
 N = 385, Offered_price = 103.16, result=1, Small=347, 
 N = 386, Offered_price = 103.16, result=1, Small=347, 
 N = 387, Offered_price = 103.16, result=1, Small=347, 
 N = 388, Offered_price = 103.16, result=1, Small=347, 
 N = 389, Offered_price = 103.16, result=0, Small=346, 
 N = 390, Offered_price = 111.58, result=0, Small=345, 
 N = 391, Offered_price = 120.00, result=0, Small=344, 
 N = 392, Offered_price = 106.32, result=0, Small=343, 
 N = 393, Offered_price = 112.63, result=0, Small=342, 
 N = 394, Offered_price = 110.53, result=1, Small=342, 
 N = 395, Offered_price = 110.53, result=1, Small=342, 
 N = 396, Offered_price = 110.53, result=0, Small=341, 
 N = 397, Offered_price = 115.79, result=1, Small=341, 
 N = 398, Offered_price = 115.79, result=1, Small=341, 
 N = 399, Offered_price = 115.79, result=1, Small=341, 
 N = 400, Offered_price = 115.79, result=0, Small=340, 
 N = 401, Offered_price = 116.84, result=0, Small=339, 
 N = 402, Offered_price = 115.79, result=0, Small=338, 
 N = 403, Offered_price = 109.47, result=0, Small=337, 
 N = 404, Offered_price = 117.89, result=0, Small=336, 
 N = 405, Offered_price = 118.95, result=0, Small=335, 
 N = 406, Offered_price = 113.68, result=0, Small=334, 
 N = 407, Offered_price = 114.74, result=0, Small=333, 
 N = 408, Offered_price = 107.37, result=0, Small=332, 
 N = 409, Offered_price = 102.11, result=1, Small=332, 
 N = 410, Offered_price = 102.11, result=1, Small=332, 
 N = 411, Offered_price = 102.11, result=1, Small=332, 
 N = 412, Offered_price = 102.11, result=1, Small=332, 
 N = 413, Offered_price = 102.11, result=1, Small=332, 
 N = 414, Offered_price = 102.11, result=1, Small=332, 
 N = 415, Offered_price = 102.11, result=1, Small=332, 
 N = 416, Offered_price = 102.11, result=1, Small=332, 
 N = 417, Offered_price = 102.11, result=1, Small=332, 
 N = 418, Offered_price = 102.11, result=1, Small=332, 
 N = 419, Offered_price = 102.11, result=1, Small=332, 
 N = 420, Offered_price = 102.11, result=1, Small=332, 
 N = 421, Offered_price = 102.11, result=1, Small=332, 
 N = 422, Offered_price = 102.11, result=1, Small=332, 
 N = 423, Offered_price = 102.11, result=1, Small=332, 
 N = 424, Offered_price = 102.11, result=1, Small=332, 
 N = 425, Offered_price = 102.11, result=1, Small=332, 
 N = 426, Offered_price = 102.11, result=1, Small=332, 
 N = 427, Offered_price = 102.11, result=1, Small=332, 
 N = 428, Offered_price = 102.11, result=1, Small=332, 
 N = 429, Offered_price = 102.11, result=1, Small=332, 
