Small Cup : 100 // 50
Large Cup : 120 // 60
Starting out with Budget =  100
 N = 113, Offered_price = 115.79, result=0, Small=9, 
 N = 114, Offered_price = 116.84, result=0, Small=8, 
 N = 115, Offered_price = 116.84, result=0, Small=7, 
 N = 116, Offered_price = 115.79, result=1, Small=7, 
 N = 117, Offered_price = 116.84, result=0, Small=6, 
 N = 118, Offered_price = 116.84, result=0, Small=5, 
 N = 119, Offered_price = 115.79, result=1, Small=5, 
 N = 120, Offered_price = 116.84, result=0, Small=4, 
 N = 121, Offered_price = 116.84, result=0, Small=3, 
 N = 122, Offered_price = 115.79, result=1, Small=3, 
 N = 123, Offered_price = 116.84, result=0, Small=2, 
 N = 124, Offered_price = 115.79, result=0, Small=1, 
 N = 125, Offered_price = 116.84, result=0, Small=0, 
Total Earnings =  12793.684210526315
Avg Large Price =  111.7473684210526
