 N = 94, Offered_price = 121.05, result=0, Small=63, Regret=77.11
 N = 95, Offered_price = 126.32, result=1, Small=63, Regret=77.84
 N = 96, Offered_price = 131.58, result=0, Small=62, Regret=78.84
 N = 97, Offered_price = 147.37, result=0, Small=61, Regret=79.84
 N = 98, Offered_price = 157.89, result=0, Small=60, Regret=80.84
 N = 99, Offered_price = 194.74, result=0, Small=59, Regret=81.84
 N = 100, Offered_price = 200.00, result=0, Small=58, Regret=82.84
 N = 101, Offered_price = 105.26, result=1, Small=58, Regret=83.79
 N = 102, Offered_price = 136.84, result=1, Small=58, Regret=84.42
 N = 103, Offered_price = 142.11, result=1, Small=58, Regret=85.00
 N = 104, Offered_price = 152.63, result=1, Small=58, Regret=85.47
 N = 105, Offered_price = 178.95, result=0, Small=57, Regret=86.47
 N = 106, Offered_price = 184.21, result=0, Small=56, Regret=87.47
 N = 107, Offered_price = 189.47, result=0, Small=55, Regret=88.47
 N = 108, Offered_price = 100.00, result=1, Small=55, Regret=89.47
 N = 109, Offered_price = 110.53, result=1, Small=55, Regret=90.37
 N = 110, Offered_price = 115.79, result=1, Small=55, Regret=91.21
 N = 111, Offered_price = 126.32, result=1, Small=55, Regret=91.95
 N = 112, Offered_price = 157.89, result=0, Small=54, Regret=92.95
 N = 113, Offered_price = 194.74, result=0, Small=53, Regret=93.95
 N = 114, Offered_price = 200.00, result=0, Small=52, Regret=94.95
 N = 115, Offered_price = 105.26, result=1, Small=52, Regret=95.89
 N = 116, Offered_price = 136.84, result=0, Small=51, Regret=96.89
 N = 117, Offered_price = 142.11, result=1, Small=51, Regret=97.47
 N = 118, Offered_price = 152.63, result=1, Small=51, Regret=97.95
 N = 119, Offered_price = 173.68, result=0, Small=50, Regret=98.95
 N = 120, Offered_price = 178.95, result=0, Small=49, Regret=99.95
 N = 121, Offered_price = 184.21, result=1, Small=49, Regret=100.11
 N = 122, Offered_price = 189.47, result=0, Small=48, Regret=101.11
 N = 123, Offered_price = 100.00, result=1, Small=48, Regret=102.11
 N = 124, Offered_price = 110.53, result=1, Small=48, Regret=103.00
 N = 125, Offered_price = 115.79, result=0, Small=47, Regret=104.00
 N = 126, Offered_price = 126.32, result=0, Small=46, Regret=105.00
 N = 127, Offered_price = 157.89, result=0, Small=45, Regret=106.00
 N = 128, Offered_price = 194.74, result=0, Small=44, Regret=107.00
 N = 129, Offered_price = 200.00, result=0, Small=43, Regret=108.00
 N = 130, Offered_price = 105.26, result=1, Small=43, Regret=108.95
 N = 131, Offered_price = 121.05, result=1, Small=43, Regret=109.74
 N = 132, Offered_price = 131.58, result=0, Small=42, Regret=110.74
 N = 133, Offered_price = 142.11, result=1, Small=42, Regret=111.32
 N = 134, Offered_price = 147.37, result=0, Small=41, Regret=112.32
 N = 135, Offered_price = 152.63, result=0, Small=40, Regret=113.32
 N = 136, Offered_price = 173.68, result=1, Small=40, Regret=113.58
 N = 137, Offered_price = 178.95, result=0, Small=39, Regret=114.58
 N = 138, Offered_price = 189.47, result=0, Small=38, Regret=115.58
 N = 139, Offered_price = 100.00, result=1, Small=38, Regret=116.58
