100.0000,100.0000,19514.8421,107.4505,110.0259,44.4421,0.0000,88.5500,100.0000,188.5500
200.0000,100.0000,34687.5263,107.3072,109.9900,1.0263,20.6500,156.1000,179.3500,335.4500
500.0000,100.0000,34829.7895,107.2990,109.9894,0.6395,319.7500,156.6000,180.2500,336.8500
1000.0000,100.0000,34829.7895,107.2990,109.9894,0.6395,819.7500,156.6000,180.2500,336.8500
2000.0000,100.0000,34829.7895,107.2990,109.9894,0.6395,1819.7500,156.6000,180.2500,336.8500
5000.0000,100.0000,34829.7895,107.2990,109.9894,0.6395,4819.7500,156.6000,180.2500,336.8500
10000.0000,100.0000,34829.7895,107.2990,109.9894,0.6395,9819.7500,156.6000,180.2500,336.8500
20000.0000,100.0000,34829.7895,107.2990,109.9894,0.6395,19819.7500,156.6000,180.2500,336.8500
100.0000,200.0000,19514.8421,107.4505,110.0259,144.4421,0.0000,88.5500,100.0000,188.5500
200.0000,200.0000,38199.3158,107.2627,109.9919,92.0658,0.0000,169.6500,200.0000,369.6500
500.0000,200.0000,70228.7895,107.2289,109.9960,0.6395,132.6000,312.3000,367.4000,679.7000
1000.0000,200.0000,70228.7895,107.2289,109.9960,0.6395,632.6000,312.3000,367.4000,679.7000
2000.0000,200.0000,70228.7895,107.2289,109.9960,0.6395,1632.6000,312.3000,367.4000,679.7000
5000.0000,200.0000,70228.7895,107.2289,109.9960,0.6395,4632.6000,312.3000,367.4000,679.7000
10000.0000,200.0000,70228.7895,107.2289,109.9960,0.6395,9632.6000,312.3000,367.4000,679.7000
20000.0000,200.0000,70228.7895,107.2289,109.9960,0.6395,19632.6000,312.3000,367.4000,679.7000
100.0000,500.0000,19514.8421,107.4505,110.0259,444.4421,0.0000,88.5500,100.0000,188.5500
200.0000,500.0000,38199.3158,107.2627,109.9919,392.0658,0.0000,169.6500,200.0000,369.6500
500.0000,500.0000,95073.6842,107.1861,109.9921,230.6842,0.0000,420.5000,500.0000,920.5000
1000.0000,500.0000,176648.1579,107.1086,109.9891,0.7079,63.3000,774.7000,936.7000,1711.4000
2000.0000,500.0000,176648.1579,107.1086,109.9891,0.7079,1063.3000,774.7000,936.7000,1711.4000
5000.0000,500.0000,176648.1579,107.1086,109.9891,0.7079,4063.3000,774.7000,936.7000,1711.4000
10000.0000,500.0000,176648.1579,107.1086,109.9891,0.7079,9063.3000,774.7000,936.7000,1711.4000
20000.0000,500.0000,176648.1579,107.1086,109.9891,0.7079,19063.3000,774.7000,936.7000,1711.4000
100.0000,1000.0000,19514.8421,107.4505,110.0259,944.4421,0.0000,88.5500,100.0000,188.5500
200.0000,1000.0000,38199.3158,107.2627,109.9919,892.0658,0.0000,169.6500,200.0000,369.6500
500.0000,1000.0000,95073.6842,107.1861,109.9921,730.6842,0.0000,420.5000,500.0000,920.5000
1000.0000,1000.0000,188559.3684,107.1094,109.9927,467.1684,0.0000,826.8000,1000.0000,1826.8000
2000.0000,1000.0000,352508.2105,107.1026,109.9967,0.6605,134.7500,1549.7500,1865.2500,3415.0000
5000.0000,1000.0000,352508.2105,107.1026,109.9967,0.6605,3134.7500,1549.7500,1865.2500,3415.0000
10000.0000,1000.0000,352508.2105,107.1026,109.9967,0.6605,8134.7500,1549.7500,1865.2500,3415.0000
20000.0000,1000.0000,352508.2105,107.1026,109.9967,0.6605,18134.7500,1549.7500,1865.2500,3415.0000
100.0000,2000.0000,19514.8421,107.4505,110.0259,1944.4421,0.0000,88.5500,100.0000,188.5500
200.0000,2000.0000,38199.3158,107.2627,109.9919,1892.0658,0.0000,169.6500,200.0000,369.6500
500.0000,2000.0000,95073.6842,107.1861,109.9921,1730.6842,0.0000,420.5000,500.0000,920.5000
1000.0000,2000.0000,188559.3684,107.1094,109.9927,1467.1684,0.0000,826.8000,1000.0000,1826.8000
2000.0000,2000.0000,378075.7368,107.1062,109.9981,928.1868,0.0000,1662.6000,2000.0000,3662.6000
5000.0000,2000.0000,705282.4211,107.0681,109.9969,0.5711,1258.0500,3092.3000,3741.9500,6834.2500
10000.0000,2000.0000,705282.4211,107.0681,109.9969,0.5711,6258.0500,3092.3000,3741.9500,6834.2500
20000.0000,2000.0000,705282.4211,107.0681,109.9969,0.5711,16258.0500,3092.3000,3741.9500,6834.2500
100.0000,5000.0000,19514.8421,107.4505,110.0259,4944.4421,0.0000,88.5500,100.0000,188.5500
200.0000,5000.0000,38199.3158,107.2627,109.9919,4892.0658,0.0000,169.6500,200.0000,369.6500
500.0000,5000.0000,95073.6842,107.1861,109.9921,4730.6842,0.0000,420.5000,500.0000,920.5000
1000.0000,5000.0000,188559.3684,107.1094,109.9927,4467.1684,0.0000,826.8000,1000.0000,1826.8000
2000.0000,5000.0000,378075.7368,107.1062,109.9981,3928.1868,0.0000,1662.6000,2000.0000,3662.6000
5000.0000,5000.0000,942420.4737,107.0740,109.9990,2329.6237,0.0000,4131.9000,5000.0000,9131.9000
10000.0000,5000.0000,1763571.9474,107.0624,109.9994,0.6974,638.5000,7728.4000,9361.5000,17089.9000
20000.0000,5000.0000,1763571.9474,107.0624,109.9994,0.6974,10638.5000,7728.4000,9361.5000,17089.9000
100.0000,10000.0000,19514.8421,107.4505,110.0259,9944.4421,0.0000,88.5500,100.0000,188.5500
200.0000,10000.0000,38199.3158,107.2627,109.9919,9892.0658,0.0000,169.6500,200.0000,369.6500
500.0000,10000.0000,95073.6842,107.1861,109.9921,9730.6842,0.0000,420.5000,500.0000,920.5000
1000.0000,10000.0000,188559.3684,107.1094,109.9927,9467.1684,0.0000,826.8000,1000.0000,1826.8000
